objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders Duel","173346","3","2","0","1","0","0","0","0","0","0","0","3","","","","","","93011650","7.965","8.08898","2.2245","20","169837","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Agatha Christie: Death on the Cards","281206","5","5","0","1","0","0","0","0","0","0","0","3","","","","","","92336217","5.58469","6.20512","1.6364","9674","1471","thing","Agatha Christie: Death on the Cards","2","6","40","40","20","2019","3,4,5,6","6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Modiphius Entertainment","English","2019","English edition"
"Air, Land, & Sea","247367","9","4","0","1","0","0","0","0","0","0","0","3","","","","","","92336565","7.06908","7.46338","1.7051","412","18845","thing","Air, Land, & Sea","2","2","20","20","20","2019","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Akrotiri","154458","8","2","0","1","0","0","0","0","0","0","0","3","","","","","","96108585","6.62362","7.16336","2.6316","1008","7980","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ALIEN: Fate of the Nostromo","332321","6","2","0","1","0","0","0","0","0","0","0","3","","","","","","92336578","6.28795","7.07597","1.9412","1799","7362","thing","ALIEN: Fate of the Nostromo","1","5","60","60","45","2021","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2021","English edition"
"Archaeology: The Card Game","31105","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","117513451","6.17193","6.65525","1.3389","2218","3773","thing","Archaeology: The Card Game","2","4","20","20","20","2007","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: The Card Game","205637","2","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336182","7.89887","8.12848","3.557","28","79793","thing","Arkham Horror: The Card Game","1","2","120","120","60","2016","1,2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Backgammon","2397","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99297108","6.36853","6.56758","2.006","1571","23845","thing","Backgammon","2","2","30","30","30","1630","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill","10547","5","12","0","1","0","0","0","0","0","0","0","3","","","","","","92336048","6.79999","7.01734","2.3981","722","82307","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Betrayal at House on the Hill: Widow's Walk","198452","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","92336049","6.68289","7.44463","2.7872","0","18352","thing","Betrayal at House on the Hill: Widow's Walk","3","6","60","0","60","2016","3,4,5,6","4,5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","Avalon Hill; Hasbro; Lone Shark Games; Wizards of the Coast","English","2016","English edition"
